"ANATOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","",""
"","328
001","472","2.787","23.5","13.3","22.0","11.4","17.2","8.3","4.0",".",".",".",".",".",".",".","0.2","."
"","328
003","168","2.779","25.0","11.3","22.6","10.7","14.3","10.1","4.2","0.6","0.6",".",".",".",".",".","0.6","."
"Human Anatomy","Course Total","640","2.785","23.9","12.8","22.2","11.3","16.4","8.8","4.1","0.2","0.2",".",".",".",".",".","0.3","."
"","329
001","69","3.456","55.1","8.7","20.3","8.7","2.9","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","002
329","67","3.530","52.2","22.4","16.4","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","329
003","70","3.507","51.4","27.1","8.6","8.6","1.4",".","2.9",".",".",".",".",".",".",".",".","."
"","329
004","68","3.493","50.0","20.6","19.1","1.5","7.4","1.5",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","274","3.496","52.2","19.7","16.1","5.5","3.6","1.5","1.1","0.4",".",".",".",".",".",".",".","."
"Microscopy of Life","619
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Functional Neuroanatomy","637
001","66","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","675
021","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.826","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Cell Structure and Function","710
001","176","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","722
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
