"","812
042","17","3.433","29.4","17.6","41.2",".","",".",".","",".","",".","",".","",".",".","",".","","5.9",".","5.9","."
"","812
043","15","3.400","20.0","40.0","40.0",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"","812
044","15","3.467","26.7","40.0","33.3",".","",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Neuroscience Core Clerkship","Course Total","62","3.450","27.4","32.3","37.1",".","",".","",".","",".","",".","",".",".","",".","",".","1.6",".","1.6","."
"NEUROL
676","Dept. Total","101","3.573","54.5","19.8","22.8","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","1.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","9","3.824","88.9",".",".","11.1","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","27","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","39","3.961","97.4",".",".","2.6","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","55","3.443","25.5","34.5","36.4",".","",".","",".","",".","",".","",".",".","",".","",".","1.8",".","1.8","."
"Prof Yr 4","","7","3.500","42.9","14.3","42.9",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","62","3.450","27.4","32.3","37.1",".","",".","",".","",".","",".","",".",".","",".","",".","1.6",".","1.6","."
"","Dept. Total","101","3.573","54.5","19.8","22.8","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","1.0","."
