"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"315
Limnology-Aquatic Resources","001","","105","2.893","19.0","5.7","39.0","15.2","15.2","1.9","1.9","1.0",".",".",".",".",".",".","1.0","."
"316","001","","24","3.250","20.8","29.2","41.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"316","002","","21","3.310","4.8","52.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"316","003","","20","3.350","25.0","35.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","","65","3.300","16.9","38.5","38.5","3.1","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","140","3.112","12.9","32.1","32.1","8.6","12.1","0.7",".",".",".",".",".",".",".",".","1.4","."
"400","001","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"400","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"400","003","","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"400","004","","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Topics in Biology","Course Total","","63","3.840","90.5","3.2","3.2",".",".",".","1.6",".",".",".",".",".","1.6",".",".","."
"405
Intro to Museum Studies","001","","15","3.413","73.3","13.3",".",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"410","001","","40","3.128","20.0","25.0","27.5","10.0","15.0",".",".",".",".",".",".",".",".","2.5",".","."
"410","010","","11","3.045","27.3","18.2",".","45.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","Course Total","","51","3.110","21.6","23.5","21.6","17.6","13.7",".",".",".",".",".",".",".",".","2.0",".","."
"430
Compar Anatomy-Vertebrates","001","","50","3.010","32.0","14.0","16.0","12.0","16.0","8.0",".","2.0",".",".",".",".",".",".",".","."
"460
General Ecology","001","","47","3.330","31.9","27.7","23.4","8.5","8.5",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","72","3.208","20.8","33.3","30.6","5.6","6.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
Invertebrate Paleontology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","138","3.126","39.1","6.5","24.6","3.6","21.0","1.4","1.4",".",".",".",".",".",".",".","2.2","."
"603
Endocrinology","001","","55","2.918","29.1","23.6","20.0","3.6","5.5","12.7","5.5",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698
Directed Study","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 321 of 403",""
