"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","109","2.722","14.7","11.9","33.0","12.8","16.5","10.1","0.9",".","",".",".","",".",".",".",".",".","."
"Junior","438","3.023","26.9","12.6","34.0","8.4","16.0","1.8","0.2",".","",".",".","",".",".",".",".",".","."
"Senior","852","3.203","37.7","13.4","27.7","7.9","9.7","2.3","1.2",".","",".",".","",".",".","0.1",".",".","."
"Undergraduates","1400","3.105","32.5","13.0","30.1","8.4","12.3","2.8","0.9",".","",".",".","",".",".","0.1",".",".","."
"Special","45","3.238","40.0","15.6","15.6","13.3","11.1","2.2",".",".","",".",".","",".",".",".",".","2.2","."
"Graduate","175","3.571","48.6","6.3","10.9",".","2.3",".","0.6","23.4","",".",".","",".","8.0",".",".",".","."
"Prof Yr 4","3","3.400","66.7",".","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","3","3.400","66.7",".","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
