"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","1963","3.000","27.3","15.1","27.4","7.4","11.7","4.7","1.7","3.1","",".","0.2","",".","0.7","0.1","0.1","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","91","2.462","11.0","7.7","36.3","14.3","14.3","8.8","7.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","456","2.803","18.2","14.7","35.1","8.3","14.7","5.9","2.6",".","",".",".","",".",".","0.2",".","0.2","."
"Junior","","505","2.937","25.7","15.2","28.3","7.9","14.7","6.5","1.2",".","",".",".","",".",".",".",".","0.4","."
"Senior","","729","3.178","33.1","18.8","25.4","7.3","9.6","3.2","1.1","0.3","",".","0.4","",".","0.5","0.1","0.1","0.1","."
"Undergraduates","","1781","2.975","26.1","16.2","29.3","8.1","12.6","5.1","1.9","0.1","",".","0.2","",".","0.2","0.1","0.1","0.2","."
"Special","","40","3.480","47.5","17.5","7.5",".","2.5","5.0",".","5.0","",".",".","",".",".",".",".","15.0","."
"Graduate","","139","3.548","37.4","0.7","9.4","1.4","2.9",".",".","40.3","",".",".","",".","6.5",".",".","1.4","."
"Prof Yr 4","","3","3.250",".","33.3","33.3",".",".",".",".","33.3","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.250",".","33.3","33.3",".",".",".",".","33.3","",".",".","",".",".",".",".",".","."
"","Dept. Total","1963","3.000","27.3","15.1","27.4","7.4","11.7","4.7","1.7","3.1","",".","0.2","",".","0.7","0.1","0.1","0.6","."
