"","530
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","530
003","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Folklore","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"Independ Stdy-Folklore Grad","699
002","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"FOLKLORE
380","Dept. Total","332","3.479","41.0","28.9","19.6","3.6","2.1","0.6","1.2","",".","",".",".","",".","",".","1.8","0.6","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","3.374","43.4","15.1","30.2","5.7","3.8",".","1.9","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","82","3.379","30.5","39.0","18.3","4.9","2.4",".","2.4","",".","",".",".","",".","",".","1.2","1.2",".","."
"Junior","","73","3.488","35.6","38.4","15.1","4.1","2.7","1.4",".","",".","",".",".","",".","",".","2.7",".",".","."
"Senior","","106","3.540","47.2","25.5","20.8","1.9","0.9","0.9","0.9","",".","",".",".","",".","",".","1.9",".",".","."
"Undergraduates","","314","3.460","39.5","30.3","20.4","3.8","2.2","0.6","1.3","",".","",".",".","",".","",".","1.6","0.3",".","."
"Special","","5","3.250",".","20.0","20.0",".",".",".",".","",".","",".",".","",".","",".",".","20.0","40.0","."
"Graduate","","13","4.000","92.3",".",".",".",".",".",".","",".","",".",".","",".","",".","7.7",".",".","."
"","Dept. Total","332","3.479","41.0","28.9","19.6","3.6","2.1","0.6","1.2","",".","",".",".","",".","",".","1.8","0.6","0.6","."
