"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"HDFS","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","2.000",".",".",".",".","100.0",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","108","3.360","31.5","33.3","21.3","8.3","3.7","1.9",".",".",".",".","",".",".",".",".",".","."
"Junior","337","3.550","46.6","31.8","14.2","3.3","2.7","0.9","0.3",".",".",".","",".",".","0.3",".",".","."
"Senior","488","3.630","59.8","20.9","10.5","4.5","2.5","0.6","0.4","0.6",".",".","",".",".","0.2",".",".","."
"Undergraduates","935","3.565","51.7","26.2","13.0","4.5","2.9","0.9","0.3","0.3",".",".","",".",".","0.2",".",".","."
"Special","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","48","3.915","52.1","10.4",".",".",".",".",".","31.3","2.1",".","",".","2.1","2.1",".",".","."
"Prof Yr 4","6","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","6","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
