"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.929","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","57","3.071","15.8","33.3","22.8","12.3","10.5","1.8","1.8",".",".",".",".",".","1.8",".",".","."
"324","003","","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","34","3.632","50.0","32.4","14.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","57","3.061","24.6","15.8","28.1","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"410
Food Chemistry","001","","66","2.947","12.1","15.2","36.4","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","40","3.563","37.5","40.0","20.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"438","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","45","3.056","42.2","8.9","28.9","2.2","2.2","8.9","6.7",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","11","3.400","27.3","36.4","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","59","2.712","15.3","6.8","35.6","6.8","27.1","8.5",".",".",".",".",".",".",".",".",".","."
"535
Confectionery Science&Technlgy","001","","22","3.175","31.8","9.1","27.3","4.5","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"602
Senior Project","001","","42","3.452","38.1","33.3","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Food Sci Teaching","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","11","3.550","45.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"900
Seminar Advanced","001","","37","3.500","2.7","2.7","2.7",".",".",".",".","91.9",".",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","47","",".",".",".",".",".",".",".","57.4",".",".",".","42.6",".",".",".","."
