"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"552
Intro-Computer Architecture","001","","31","3.081","16.1","22.6","25.8","32.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"553
Testing Desgn - Digital Sys","001","","11","3.500","27.3","36.4","9.1","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"554
Digital Engineering Lab","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","60","3.275","31.7","23.3","18.3","21.7","5.0",".",".",".",".",".",".",".",".",".",".","."
"601
Topics-Elec&Computer Engr","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","41","3.901","80.5","2.4","4.9",".",".",".",".","12.2",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","27","",".",".",".",".",".",".",".",".",".","92.6",".",".",".",".",".","."
"707
Mobile and Wireless Networking","001","","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"712","001","","29","3.586","48.3","34.5","10.3",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"712","003","","8","3.583","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Solid State Power Conversn","Course Total","","37","3.586","45.9","29.7","13.5",".","5.4",".",".",".",".",".",".",".","5.4",".",".","."
"717
Linear Systems","001","","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"729
Thry-Info Proc&Transmission","001","","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"730
Probability&Stochastic Proc","001","","20","3.075","20.0",".","60.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"740
Electromagnetic Theory","001","","11","3.273","36.4","9.1","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"749
Coher Generatn&Particl Beam","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","31","3.550","35.5","41.9","12.9","6.5",".",".",".",".",".",".",".",".","3.2",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 119 of 403",""
