"Senior Honors Thesis","682
001","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Directed Study","699
002","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Global Studies Seminar","720
001","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"INTL ST
504","Dept. Total","542","3.124","11.3","24.2","25.1","9.2","4.6","0.7","0.9","",".","",".","22.7","0.6","",".","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","185","2.994","5.9","23.2","33.0","14.6","7.0","1.1","0.5","",".","",".","14.1","0.5","",".",".",".",".","."
"Sophomore","","158","3.146","11.4","24.7","27.2","8.9","3.2","0.6","1.3","",".","",".","22.8",".","",".",".",".",".","."
"Junior","","108","3.195","13.9","26.9","18.5","2.8","4.6","0.9","1.9","",".","",".","28.7",".","",".","1.9",".",".","."
"Senior","","67","3.398","22.4","29.9","16.4","7.5","1.5",".",".","",".","",".","20.9","1.5","",".",".",".",".","."
"Undergraduates","","518","3.125","11.4","25.3","26.1","9.5","4.6","0.8","1.0","",".","",".","20.7","0.4","",".","0.4",".",".","."
"Special","","22","2.545",".",".","4.5","4.5","4.5",".",".","",".","",".","72.7","4.5","",".",".",".","9.1","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","542","3.124","11.3","24.2","25.1","9.2","4.6","0.7","0.9","",".","",".","22.7","0.6","",".","0.4",".","0.4","."
