"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","26","4.000","73.1",".",".",".",".",".",".",".",".",".",".",".","26.9",".",".","."
"Process Synthesis","250
002","","57","3.289","50.9","8.8","19.3","7.0","8.8","1.8","3.5",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255
001","","58","3.043","22.4","13.8","37.9","12.1","10.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"","310
001","","65","2.915","12.3","24.6","30.8","13.8","12.3","4.6","1.5",".",".",".",".",".",".",".",".","."
"","002
310","","11","2.864","18.2","18.2","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","76","2.908","13.2","23.7","28.9","15.8","11.8","5.3","1.3",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","35","2.986","25.7","8.6","34.3",".","31.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","79","3.077","27.8","6.3","41.8","8.9","8.9","5.1",".","1.3",".",".",".",".",".",".",".","."
"","001
324","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","11","3.273","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","40","3.363","20.0","40.0","32.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","36","2.917","25.0","19.4","16.7","13.9","19.4",".","5.6",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","57","2.921","19.3","5.3","42.1","14.0","17.5",".","1.8",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","43","3.116","18.6","27.9","30.2","9.3","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","26","3.212","26.9","23.1","30.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","46","3.022","8.7","26.1","39.1","17.4","6.5","2.2",".",".",".",".",".",".",".",".",".","."
"","489
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517
001","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"Polymer Sci & Technology","540
001","","49","3.051","24.5","26.5","16.3","16.3","10.2","4.1","2.0",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547
001","","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555
001","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","18","3.306","27.8","27.8","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
006","","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
562","","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
010","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","67","3.801","76.1","11.9","10.4",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Solar Energy Technology","001
567","","9","2.444",".","33.3","11.1","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".","."
"","599
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 110 of 403",""
