"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","76","3.400","36.8","23.7","26.3","5.3","6.6",".",".",".",".",".",".",".",".","1.3",".","."
"130
General Botany","001","","147","2.859","15.6","10.9","36.1","10.9","18.4","3.4","1.4",".",".",".",".",".","3.4",".",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"151","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","10","2.700","20.0",".","20.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"152
Introductory Biology","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"160
Heredity","001","","12","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"240
Plants and Humans","001","","74","2.953","27.0","12.2","25.7","16.2","12.2","2.7","4.1",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","39","3.472","41.0","33.3","10.3","2.6",".","2.6","2.6","7.7",".",".",".",".",".",".",".","."
"300
Plant Anatomy","001","","27","3.404","37.0","29.6","14.8","3.7","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"330
Algae","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Environmental Biogeography","001","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"400
Plant Systematics","001","","44","3.267","45.5","9.1","22.7","2.3","13.6","4.5",".",".",".",".",".",".",".",".","2.3","."
"402
Dendrology","001","","14","3.308","64.3",".","7.1",".","14.3",".","7.1",".",".",".",".",".","7.1",".",".","."
"410","001","","19","2.974","31.6","5.3","36.8",".","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"410","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","Course Total","","20","2.975","30.0","5.0","40.0",".","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","30","3.107","26.7","10.0","40.0","3.3","10.0",".","3.3","6.7",".",".",".",".",".",".",".","."
"460
General Ecology","001","","67","3.381","38.8","25.4","23.9","3.0","6.0","3.0",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","21","2.357","4.8","9.5","28.6","14.3","28.6","4.8","9.5",".",".",".",".",".",".",".",".","."
"474
Ethnobotany","001","","29","3.793","75.9","10.3","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"555
Plant Genomics&Bioinformatics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"575","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575","002","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"575","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","4.000","66.7",".",".",".",".",".",".","5.6",".",".",".",".","27.8",".",".","."
"681
Senior Honors Thesis","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 174 of 403",""
