"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"849
Thry&Appl-Regress&AnalVar I","001","","42","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Estimatn of Function from Data","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","51","",".",".",".",".",".",".",".","62.7",".",".",".","37.3",".",".",".","."
"998
Statistical Consulting","001","","14","3.625","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"STAT
932","Dept. Total","","2800","3.242","37.3","19.4","19.9","8.3","8.2","2.4","1.7","1.3",".",".",".","0.9","0.5","0.0","0.0","0.0"
