"BUS","","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"GEN BUS
231","Dept. Total","2905","3.457","52.7","20.3","17.2","4.5","3.3","0.3","0.2","0.5","",".","0.6","",".","",".","0.3",".",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","81","3.795","79.0","9.9","8.6",".","2.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","727","3.611","69.5","15.3","10.6","1.1","2.9","0.1","0.1",".","",".","0.1","",".","",".","0.1",".",".","0.1"
"Junior","","831","3.487","56.6","20.7","14.2","3.2","3.2","0.6","0.4",".","",".","0.5","",".","",".","0.6",".",".","."
"Senior","","992","3.320","37.7","19.3","27.0","9.3","4.5","0.4","0.3","0.2","",".","1.2","",".","",".","0.1",".",".","."
"Undergraduates","","2631","3.444","53.7","18.3","17.9","4.8","3.6","0.4","0.3","0.1","",".","0.6","",".","",".","0.3",".",".","0.0"
"Special","","14","3.464","50.0","28.6",".","7.1","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","255","3.621","42.4","40.4","11.0","0.8",".",".",".","4.7","",".","0.4","",".","",".","0.4",".",".","."
"Prof Yr 3","","5","3.444","40.0","20.0","20.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","5","3.444","40.0","20.0","20.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","2905","3.457","52.7","20.3","17.2","4.5","3.3","0.3","0.2","0.5","",".","0.6","",".","",".","0.3",".",".","0.0"
