"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"The Ancient Mediterranean","110
001","64","3.469","39.1","40.6","10.9","3.1","3.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","37","2.792","35.1","5.4","13.5","8.1","18.9","13.5","2.7",".",".",".",".",".",".",".","2.7","."
"Civilizat of Ancient Greece","320
001","79","3.325","12.7","49.4","27.8","3.8","3.8",".",".",".",".",".",".",".","1.3",".","1.3","."
"Rome:Changing Shape of City","350
001","38","3.403","28.9","28.9","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"Topics in Roman Culture","372
001","38","3.472","42.1","28.9","13.2","2.6","5.3","2.6",".","2.6",".",".",".",".",".","2.6",".","."
"Topics in Classical Culture","373
001","71","3.239","21.1","36.6","29.6","4.2","1.4",".","4.2","1.4",".",".",".",".","1.4",".",".","."
"Classcl Backgrd-English Lit","554
001","14","3.667","50.0","28.6",".",".","7.1",".",".",".",".",".",".",".","14.3",".",".","."
"Greek & Roman Med & Phcy","001
561","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Art&Archaeolog-Ancient Greece","700
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","351","3.333","29.3","33.9","20.5","4.6","4.6","2.0","1.4","1.1",".",".",".","0.6","1.1","0.3","0.6","."
