"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","169","3.018","10.7","24.9","43.8","10.7","3.6","3.6","1.8",".",".",".",".",".",".",".",".","1.2"
"103","002","","239","3.064","10.5","26.4","43.1","10.5","5.0","1.7","1.3",".",".",".",".",".",".",".","1.3","0.4"
"The Evolving Universe","Course Total","","408","3.045","10.5","25.7","43.4","10.5","4.4","2.5","1.5",".",".",".",".",".",".",".","0.7","0.7"
"113","002","","13","3.462","46.2","15.4","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"113","003","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"113","005","","11","3.636","81.8",".",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"113","006","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","56","3.688","73.2","5.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"199
Directed Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"236
History of Matter in Universe","001","","38","2.855","15.8","10.5","36.8","13.2","21.1",".","2.6",".",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","23","2.913","30.4","4.3","30.4","4.3","21.7","8.7",".",".",".",".",".",".",".",".",".","."
"330
Galaxies","001","","10","3.250","40.0","20.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"691
Senior Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"910
Seminar in Astrophysics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
