"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","49","3.946","85.7","6.1","2.0",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"Architectural Graphics","160
002","22","3.386","40.9","18.2","18.2","22.7",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","29","3.362","20.7","48.3","17.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","170
003","30","3.233","36.7","23.3","23.3","10.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","59","3.297","28.8","35.6","20.3","10.2","1.7",".","3.4",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","001
231","246","2.941","26.4","18.7","15.0","21.5","9.8","3.3","4.9",".",".",".",".",".",".","0.4",".","."
"Dynamics","240
001","133","2.996","13.5","28.6","18.8","20.3","18.0",".",".",".",".",".",".",".",".","0.8",".","."
"","291
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
001","82","3.012","17.1","20.7","31.7","18.3","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"","002
306","85","2.982","21.2","21.2","22.4","17.6","12.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","167","2.997","19.2","21.0","26.9","18.0","10.2","3.6","1.2",".",".",".",".",".",".",".",".","."
"","307
001","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.050","10.0","10.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
004","7","3.071",".","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
006","6","2.833",".","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","3.115","15.4","23.1","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","7","3.000","14.3","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","13","2.923",".","23.1","53.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","011
307","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
012","11","2.909",".","18.2","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
013","12","3.000","16.7","25.0","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","307
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","118","3.072","12.7","20.3","41.5","19.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","313
001","54","3.222","11.1","46.3","24.1","13.0","5.6",".",".",".",".",".",".",".",".",".",".","."
"","313
002","63","3.143","9.5","34.9","34.9","15.9","4.8",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","117","3.179","10.3","40.2","29.9","14.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"","314
001","54","3.046","7.4","24.1","44.4","18.5","5.6",".",".",".",".",".",".",".",".",".",".","."
"","314
002","53","3.038","5.7","24.5","45.3","20.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","107","3.042","6.5","24.3","44.9","19.6","4.7",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","132","3.092","8.3","35.6","39.4","5.3","7.6","2.3","0.8",".",".",".",".",".",".","0.8",".","."
"Intro to Dynamic Systems","001
340","139","3.120","30.9","20.1","19.4","12.2","12.2","2.2","2.2",".",".",".",".",".","0.7",".",".","."
"Design of Machine Elements","001
342","115","3.239","20.9","22.6","43.5","9.6","3.5",".",".",".",".",".",".",".",".",".",".","."
"","349
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.175","5.0","45.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
009","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","68","3.507","35.3","38.2","19.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 134 of 403",""
