"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","406","2.949","15.8","25.1","24.9","12.1","17.2","3.9","0.7",".","0.2",".",".",".",".",".",".","."
"132","002","","385","2.878","14.0","26.8","21.0","13.8","17.7","5.2","1.6",".",".",".",".",".",".",".",".","."
"132","003","","155","2.912","16.8","23.9","21.9","12.9","16.1","6.5","0.6","1.3",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","946","2.914","15.2","25.6","22.8","12.9","17.2","4.9","1.1","0.2","0.1",".",".",".",".",".",".","."
"200
Prof-Dietetics & Nutrition","001","","70","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".",".","."
"203
Introduction to Global Health","001","","282","3.693","56.7","27.7","13.8","1.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","34","3.989","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","74","3.271","23.0","32.4","23.0","12.2","6.8",".",".","2.7",".",".",".",".",".",".",".","."
"375
Special Topics","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Global Health Field Experience","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","33","3.636","81.8",".","6.1",".","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","38","3.026","18.4","26.3","23.7","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Adv Nutrition: Minerals","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","59","2.992","18.6","30.5","20.3","8.5","13.6","8.5",".",".",".",".",".",".",".",".",".","."
"652
Adv Nutr Counseling & Educ","001","","13","3.231","53.8","23.1",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.917","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 37 of 403"
