"","999
004","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
005","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
006","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","5243","3.094","25.4","21.4","23.4","16.2","9.4","2.4","0.9","0.3","",".","0.1","",".","",".","0.2","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","688","3.041","21.5","22.4","21.5","19.0","12.1","1.6","1.3","0.1","",".",".","",".","",".","0.4",".",".","."
"Sophomore","","1173","3.051","21.1","23.2","23.4","17.2","11.3","3.0","0.7",".","",".",".","",".","",".","0.2",".",".","."
"Junior","","1248","3.007","18.7","22.0","26.4","19.1","9.0","3.2","1.2","0.1","",".","0.2","",".","",".","0.1","0.1",".","0.1"
"Senior","","1359","3.000","21.0","19.4","25.5","17.5","11.8","2.9","1.0","0.1","",".","0.4","",".","",".","0.1","0.1",".","0.3"
"Undergraduates","","4468","3.021","20.5","21.6","24.6","18.1","10.9","2.8","1.0","0.1","",".","0.2","",".","",".","0.2","0.0",".","0.1"
"Special","","85","3.426","44.7","24.7","10.6","14.1","3.5",".","1.2","1.2","",".",".","",".","",".",".",".",".","."
"Graduate","","690","3.634","54.9","19.9","17.7","4.3","0.7","0.1",".","1.6","",".",".","",".","",".","0.3",".","0.4","."
"","Dept. Total","5243","3.094","25.4","21.4","23.4","16.2","9.4","2.4","0.9","0.3","",".","0.1","",".","",".","0.2","0.0","0.1","0.1"
