"","990
065","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","6","",".",".",".",".","",".","",".","",".","83.3",".",".",".","16.7",".",".",".","."
"S&A PHM
732","Dept. Total","291","3.711","63.9","21.0","9.3","2.4","",".","",".","",".","1.7",".",".",".","0.3","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","20","3.800","45.0","10.0",".",".","",".","",".","",".","25.0",".",".",".","5.0","15.0",".",".","."
"Prof Yr 1","","128","3.523","36.7","36.7","21.1","5.5","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Prof Yr 3","","136","3.956","91.2","8.8",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","266","3.704","64.7","22.2","10.2","2.6","",".","",".","",".",".",".",".",".",".","0.4",".",".","."
"","Dept. Total","291","3.711","63.9","21.0","9.3","2.4","",".","",".","",".","1.7",".",".",".","0.3","1.4",".",".","."
