"FOREST AND WILDLIFE ECOLO","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Wildlfe Ecology","101","001","","35","3.886","85.7","5.7","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","7","2.833",".","57.1",".",".","14.3","14.3",".","14.3",".",".",".",".",".",".",".","."
"","299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","","7","3.885","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","16","3.953","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Trees and Shrubs","309","001","","17","3.029","23.5","17.6","35.3",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","","36","2.986","16.7","22.2","22.2","19.4","19.4",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","","83","3.036","12.0","25.3","38.6","13.3","8.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","","6","2.500","16.7",".","33.3",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","375","002","","13","3.917","84.6",".","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","375","004","","20","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","006","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","007","","11","3.455","18.2","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","375","009","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","69","3.618","58.0","27.5","8.7","4.3",".",".",".","1.4",".",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","11","3.841","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","","45","3.091","15.6","26.7","20.0","31.1","4.4",".",".",".",".",".",".",".",".","2.2",".","."
"Dendrology","402","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Damage Management","404","001","","20","3.325","15.0","40.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","","20","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","","26","3.365","46.2","11.5","19.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","","47","3.191","42.6","6.4","21.3","14.9","12.8",".","2.1",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","","84","3.206","20.2","31.0","33.3","3.6","8.3","3.6",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","","39","3.654","56.4","23.1","17.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","571","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","","20","3.450","25.0","40.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Env Tox","606","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","","Page 24 of 403"
