"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","27","3.759","59.3","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","27","3.685","37.0","63.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
300","26","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","25","3.680","40.0","56.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","27","3.808","59.3","37.0",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","009
300","26","3.712","42.3","57.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","26","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","337","3.759","53.1","45.1","1.5",".",".",".",".",".",".",".",".",".","0.3",".",".","."
"Business Law","301
001","409","3.009","12.7","15.6","45.7","15.4","9.0","1.5",".",".",".",".",".",".",".",".",".","."
"","302
001","47","3.415","40.4","23.4","19.1","12.8","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
302","46","3.511","41.3","26.1","26.1","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","93","3.462","40.9","24.7","22.6","9.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","001
303","98","2.852","14.3","14.3","44.9","3.1","17.3","1.0","5.1",".",".",".",".",".",".",".",".","."
"","303
002","78","2.849","14.1","5.1","46.2","6.4","23.1","2.6",".",".",".",".",".",".","2.6",".",".","."
"Business Statistics","Course Total","176","2.851","14.2","10.2","45.5","4.5","19.9","1.7","2.8",".",".",".",".",".","1.1",".",".","."
"","001
304","107","3.318","29.9","23.4","31.8","10.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"","002
304","108","3.269","21.3","33.3","25.9","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","215","3.293","25.6","28.4","28.8","13.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","245","3.615","54.3","23.3","16.7","3.3","0.8",".","0.8","0.8",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
365","9","3.935","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","24","3.792","79.2","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","003
365","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","26","3.750","73.1","11.5","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","365
008","23","3.848","82.6","13.0",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","009
365","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
365","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
013","25","3.500","52.0","12.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","365
014","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
015","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
016","27","3.741","77.8","7.4","7.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"","365
017","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
365","26","3.923","96.2",".",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","365
019","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
020","25","3.860","84.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","365
021","26","3.865","88.5","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 49 of 403"
