"","990
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","61","",".",".",".",".",".",".",".","90.2",".",".",".","9.8",".",".",".","."
"PSYCH
820","Dept. Total","4258","3.109","31.8","19.3","17.1","12.6","12.0","2.9","1.1","1.6","0.0",".",".","0.8","0.4","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","888","2.737","13.7","17.8","16.1","24.4","20.0","5.2","2.0",".",".",".",".",".","0.3","0.1",".","0.2"
"Sophomore","","875","2.926","23.9","20.2","17.4","15.7","16.1","4.6","1.9","0.1",".",".",".",".","0.1",".",".","."
"Junior","","903","3.176","34.1","18.8","21.4","11.1","11.5","2.2","0.6",".",".",".",".",".","0.3",".",".","."
"Senior","","1285","3.388","42.6","22.8","17.5","6.2","6.5","1.1","0.4","0.1",".",".",".","2.0","0.7",".","0.1","."
"Undergraduates","","3951","3.090","30.0","20.2","18.0","13.5","12.8","3.0","1.1","0.1",".",".",".","0.7","0.4","0.0","0.0","0.1"
"Special","","57","2.945","24.6","10.5","17.5","3.5","8.8","5.3","3.5","15.8","3.5",".",".",".",".","1.8","5.3","."
"Graduate","","244","3.808","62.7","6.6","2.9","0.4","0.4",".","0.4","23.0",".",".",".","2.5","0.8",".","0.4","."
"Prof Yr 2","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","3.688","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","7","3.115","42.9","28.6",".",".",".","14.3",".","14.3",".",".",".",".",".",".",".","."
"","Dept. Total","4259","3.109","31.8","19.3","17.1","12.6","12.0","2.9","1.1","1.6","0.0",".",".","0.8","0.4","0.0","0.1","0.0"
