"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","326
003","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","56","3.723","73.2","10.7","8.9","1.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"","327
001","","21","3.429","28.6","42.9","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
327","","23","3.795","65.2","21.7","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","327
003","","25","3.840","88.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","69","3.699","62.3","21.7","8.7","2.9","2.9",".",".","1.4",".",".",".",".",".",".",".","."
"","361
001","","25","3.840","88.0",".","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
361","","22","3.455","40.9","27.3","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","Course Total","","47","3.660","66.0","12.8","12.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
001","","21","3.571","47.6","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","001
417","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","","12","3.000","25.0","16.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
002","","19","3.500","73.7","15.8",".",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","","18","3.324","33.3","22.2","22.2","5.6","11.1",".",".",".",".",".",".",".",".","5.6",".","."
"","468
002","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
003","","22","3.386","31.8","40.9","22.7",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","59","3.509","44.1","30.5","16.9","1.7","3.4",".","1.7",".",".",".",".",".",".","1.7",".","."
"Smr:Hispanic Lit/Cultr/Ling","470
001","","12","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","503
001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","505
001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Hispanic Linguistics","630
001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr-Spanish American Lit","802
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Smr: Modern Spanish","815
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Modern Spanish Lit","861
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 308 of 403",""
