"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"Seminar-Supply Chain Managemnt","726
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","52","3.452","26.9","36.5","36.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","41","3.915","90.2","4.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","25","3.913","76.0","16.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","103","3.908","83.5","11.7","1.9","1.0",".",".",".","1.9",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Marketing","990
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
