"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","052","13","3.346","15.4","61.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","053","13","3.192","7.7","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100","054","13","3.038","15.4","15.4","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","055","12","3.000","8.3","16.7","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.154","15.4","30.8","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","057","12","3.167","8.3","41.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","058","12","3.250","8.3","50.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100","059","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","060","12","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","10","3.250","20.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","064","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","718","3.352","22.3","42.9","24.4","6.7","2.9","0.3","0.6",".",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155","001","143","3.605","37.1","52.4","6.3","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181","001","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","116","3.198","11.2","41.4","31.9","12.1","1.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250","001","227","3.018","10.1","23.8","35.2","21.1","6.2","0.4","0.9",".",".",".",".",".","1.3","0.4","0.4","."
"Communication & Human Behav","260","001","229","2.950","11.8","19.2","36.7","19.7","10.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","122","3.167","6.6","41.0","32.8","14.8","3.3",".",".",".",".",".",".",".","1.6",".",".","."
"Thry&Pract-Group Discussion","266","001","50","3.210","20.0","22.0","42.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","149","2.953","16.8","29.5","22.1","16.1","6.7","4.7","4.0",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","157","3.153","19.1","33.1","23.6","14.0","7.6","1.9","0.6",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","94","3.207","10.6","38.3","35.1","8.5","5.3",".",".","1.1",".",".",".",".","1.1",".",".","."
"Race, Ethnicity, and Media","347","001","30","3.233","6.7","60.0","16.7","13.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","149","3.095","13.4","30.9","28.9","17.4","7.4","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","119","2.915","10.9","21.0","38.7","14.3","9.2","1.7","3.4","0.8",".",".",".",".",".",".",".","."
"Film History to 1960","352","001","16","3.233","37.5","6.3","25.0","12.5","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","135","3.259","8.9","48.1","31.9","8.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","17","3.353","29.4","17.6","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","110","2.885","15.5","17.3","26.4","20.0","15.5","3.6","0.9","0.9",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","168","2.961","13.7","25.0","26.2","19.6","11.3","1.8","1.8","0.6",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","34","3.667","52.9","35.3","5.9",".",".","2.9",".","2.9",".",".",".",".",".",".",".","."
"New Media and Society","459","001","23","3.283","4.3","52.2","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","28","3.589","28.6","60.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","16","3.438","25.0","43.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","467","001","14","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","15","3.300","20.0","26.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound","","Course Total","29","3.328","24.1","27.6","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","49","3.496","26.5","44.9","22.4","2.0",".",".",".","2.0",".",".",".",".","2.0",".",".","."
