"TERM : 1152","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"MATERIALS SCI AND ENGINEERI Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"M S & E
Dept. Total
636","850","3.507","40.6","22.2","15.4","5.4","1.9","0.6","",".","7.2","0.1","2.8","",".","3.4","0.1","0.1","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Sophomore","102","3.399","27.5","38.2","23.5","7.8","1.0","1.0","",".",".",".",".","",".",".",".",".","1.0","."
"Junior","167","3.481","42.5","29.9","15.6","7.2","3.6","1.2","",".",".",".",".","",".",".",".",".",".","."
"Senior","293","3.406","41.6","24.9","21.5","8.5","2.7","0.7","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","562","3.428","39.3","28.8","20.1","8.0","2.7","0.9","",".",".",".",".","",".",".",".",".","0.2","."
"Special","22","3.389","31.8","22.7","22.7","4.5","4.5",".","",".","4.5","4.5",".","",".",".",".","4.5",".","."
"Graduate","266","3.820","44.0","8.3","4.9",".",".",".","",".","22.6",".","9.0","",".","10.9","0.4",".",".","."
"Dept. Total","850","3.507","40.6","22.2","15.4","5.4","1.9","0.6","",".","7.2","0.1","2.8","",".","3.4","0.1","0.1","0.1","."
