"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Intro to Animal Sciences","001","","89","3.303","32.6","21.3","34.8","5.6","3.4",".","2.2",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","134","3.187","33.6","25.4","14.9","11.9","8.2","4.5","1.5",".",".",".",".",".",".",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","23","3.413","43.5","21.7","30.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.857","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","26","3.365","30.8","26.9","26.9","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","17","2.594","17.6","11.8","23.5","5.9","23.5",".","11.8",".",".",".",".",".",".",".","5.9","."
"375","002","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Special Topics","Course Total","","25","2.957","28.0","20.0","16.0","4.0","16.0",".","8.0",".",".",".",".",".",".",".","8.0","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","9","3.556","55.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","22","3.024","18.2","13.6","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".","4.5","."
"434
Reproductive Physiology","001","","59","3.432","23.7","47.5","22.0","5.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","43","3.930","86.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","6","2.833",".","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"699","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","22","3.975","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.871","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
