"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Nature of Criticism","476
001","","18","3.861","88.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Digital Media & Political Comm","509
001","","22","3.591","40.9","36.4","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television Genres","540
001","","26","3.080","11.5","34.6","30.8","11.5",".","7.7",".","3.8",".",".",".",".",".",".",".","."
"American Cinema Since 1970","552
001","","67","3.230","7.5","47.8","26.9","10.4",".",".","1.5","6.0",".",".",".",".",".",".",".","."
"Contemporary Media Industries","557
001","","19","3.368","21.1","47.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Thry-Deliberation&Controversy","562
001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Communictn&Interethnc Behav","565
001","","42","3.393","33.3","26.2","26.2","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","001
575","","43","3.314","32.6","23.3","37.2","2.3",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"","608
001","","20","3.575","40.0","45.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","608
002","","22","3.568","22.7","68.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","Course Total","","42","3.571","31.0","57.1","9.5",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","609
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","609
002","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","Course Total","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
610","","12","3.458","33.3","50.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","610
002","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","20","3.605","50.0","30.0","5.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","613
001","","20","3.350","30.0","25.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
003","","19","3.694","42.1","47.4","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Special Topics in Film","Course Total","","60","3.525","36.7","35.0","21.7","5.0",".",".",".","1.7",".",".",".",".",".",".",".","."
"Field Exper in Communicatn","614
028","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615
028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","616
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicatn&Social Conflict","671
001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Film Colloquium","902
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Media&Cultural Studies Colloq","903
001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Communicatn Science Colloq","904
001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Rhetoric Colloquium","905
001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
