"EDU","","","","","","","","","","","","","","","","","","","","",""
"","ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Art in Secondary Education","324","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Elem School Art","470","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","","Dept. Total","","18","3.604","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
