"","990
026","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
030","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","31","",".",".",".",".",".",".","",".","74.2",".",".",".","25.8","",".",".",".","."
"DY SCI
292","Dept. Total","260","3.436","48.1","14.6","17.7","3.1","3.5","1.2","",".","8.8",".",".",".","3.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","24","3.335","33.3","16.7","45.8",".","4.2",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","44","3.532","70.5","4.5","18.2","2.3","4.5",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","63","3.363","52.4","15.9","17.5","6.3","6.3","1.6","",".",".",".",".",".",".","",".",".",".","."
"Senior","","70","3.413","47.1","24.3","20.0","4.3","1.4","2.9","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","201","3.407","52.2","16.4","21.9","4.0","4.0","1.5","",".",".",".",".",".",".","",".",".",".","."
"Special","","8","3.417","50.0","25.0","12.5",".","12.5",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","51","3.793","31.4","5.9","2.0",".",".",".","",".","45.1",".",".",".","15.7","",".",".",".","."
"","Dept. Total","260","3.436","48.1","14.6","17.7","3.1","3.5","1.2","",".","8.8",".",".",".","3.1","",".",".",".","."
