"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"990","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","42","",".",".",".",".",".",".",".","95.2",".",".",".",".","4.8",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
