"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","125","3.422","44.0","25.6","15.2","4.0","5.6","1.6","1.6","2.4",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","138","3.243","20.3","37.7","25.4","9.4","5.8",".","1.4",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","64","3.653","53.1","29.7","10.9",".","1.6","1.6",".","1.6",".",".",".",".",".",".","1.6","."
"Intro-E Asian History:Japan","104","001","60","3.381","36.7","35.0","15.0","3.3","5.0",".","3.3",".",".",".",".",".","1.7",".",".","."
"Intro-History of Africa","105","002","47","3.295","12.8","44.7","23.4","10.6","2.1",".",".","6.4",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","78","3.140","28.2","24.4","20.5","10.3","6.4","3.8","2.6","3.8",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","66","3.397","36.4","25.8","24.2","4.5","1.5","1.5","1.5","3.0",".",".",".",".","1.5",".",".","."
"Europe&Mod World 1815-On","120","001","136","3.290","26.5","29.4","17.6","14.0","3.7","0.7","0.7","7.4",".",".",".",".",".",".",".","."
"English History to 1688","123","001","72","3.171","11.1","23.6","38.9","8.3","2.8","1.4",".","13.9",".",".",".",".",".",".",".","."
"Intro to World History","130","001","71","3.492","36.6","32.4","14.1","7.0",".",".","1.4",".","1.4",".",".",".",".","7.0",".","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","15","3.786","60.0","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","200","004","16","3.063","6.3","12.5","75.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","31","3.400","32.3","19.4","41.9",".","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"","201","002","43","3.641","51.2","23.3","9.3","4.7","2.3",".",".","2.3",".",".",".",".","7.0",".",".","."
"","201","004","42","3.226","38.1","21.4","23.8","4.8","2.4","7.1","2.4",".",".",".",".",".",".",".",".","."
"","201","005","31","3.435","35.5","38.7","12.9","9.7",".","3.2",".",".",".",".",".",".",".",".",".","."
"","201","006","14","3.464","50.0","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","201","007","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","201","008","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","151","3.439","41.7","27.8","15.9","6.0","2.6","2.6","0.7","0.7",".",".",".",".","2.0",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","33","3.414","30.3","30.3","15.2","6.1","6.1",".",".","12.1",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","79","3.388","20.3","38.0","34.2","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Intro to Modern Jewish Hist","220","001","8","3.143",".","25.0","62.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","223","001","26","2.846","11.5","15.4","34.6","15.4","19.2","3.8",".",".",".",".",".",".",".",".",".","."
"","223","002","60","3.432","33.3","43.3","13.3","1.7","3.3","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","86","3.253","26.7","34.9","19.8","5.8","8.1","2.3","1.2","1.2",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","20","3.583","40.0","35.0","10.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Transnational/Comp Hstry (Hum)","229","001","9","3.438","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Braided Hists. Abrahamic Rels.","230","001","30","2.955","3.3","33.3","20.0","6.7","3.3","3.3","3.3","26.7",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","20","3.605","55.0","20.0","5.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","17","3.063","29.4","23.5","17.6","11.8",".","5.9","5.9",".",".",".",".",".","5.9",".",".","."
"American Legal History to 1860","261","001","17","2.938","5.9","17.6","35.3","29.4","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","46","3.179","8.7","41.3","23.9","8.7","8.7",".",".","6.5",".",".",".",".","2.2",".",".","."
"Intermed Hon Smr-Study Hist(H)","283","001","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","58","3.429","29.3","31.0","20.7","1.7","1.7",".","1.7","1.7",".",".",".",".","3.4","1.7","6.9","."
"The Vietnam Wars","319","001","75","3.589","42.7","28.0","13.3","2.7",".",".","1.3","12.0",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","18","3.083","11.1","27.8","55.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Hist-Modern China,1800-1949","341","002","50","3.340","34.0","10.0","26.0","12.0","4.0",".",".","14.0",".",".",".",".",".",".",".","."
"France from 1799-1914","348","001","37","3.337","21.6","27.0","32.4","5.4","2.7",".",".","10.8",".",".",".",".",".",".",".","."
