"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","356","3.081","11.2","30.6","36.0","12.9","5.6","1.1","1.4",".",".",".",".",".","0.6",".","0.6","."
"WIScholars:Wi Intntl Schlr Smr","212
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
005","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
010","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","310
012","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"","310
013","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","111","",".",".",".",".",".",".",".",".",".","97.3","2.7",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","322
001","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","9","3.056","11.1","33.3","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","11","2.955","27.3",".","36.4","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","401
001","16","3.563","50.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"DC Sem:Intl Affrs Intrshp Smr","622
001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Studies Seminar","720
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL ST
504","Dept. Total","542","3.124","11.3","24.2","25.1","9.2","4.6","0.7","0.9",".",".","22.7","0.6",".","0.4",".","0.4","."
