"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"300
Nonprofit Sector: Overview","002","","31","3.194","19.4","29.0","32.3","9.7","9.7",".",".",".",".",".",".",".",".",".",".","."
"335
Communicating-Key Audiences","001","","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","36","3.431","27.8","50.0","16.7","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"350
Community Iss & Serv Learng","001","","32","3.694","46.9","40.6","9.4",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","001","","23","3.990","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"428
Prgm Planning-Fam&Consmr Ed","001","","39","3.821","79.5","10.3","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"430
Stdt Teach-Fam & Consumer Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","26","3.558","30.8","50.0","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","17","3.773","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"811
Research Design&Methodology","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
