"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"434
Intro-Japanese Linguistics","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Tchg-Japanese-Foreign Lang","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Lit Studies in Chinese Drama","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"672
Lit Studies in Chinese Fiction","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.871","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosem-Chinese Literature","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","8","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"951
Smr-Chinese Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"971
Seminar in Chinese Thought","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","24","",".",".",".",".",".",".",".","79.2",".",".",".","20.8",".",".",".","."
