"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","358","3.816","80.4","10.6","6.7","1.4","0.3","0.3","",".","0.3","",".",".",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","104","3.798","73.1","15.4","11.5",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","85","3.639","72.9","9.4","9.4","4.7","1.2","1.2","",".","1.2","",".",".",".","",".","",".",".",".","."
"Junior","","72","3.822","80.6","12.5","5.6","1.4",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","95","3.948","93.7","6.3",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","356","3.811","80.1","11.0","6.7","1.4","0.3","0.3","",".","0.3","",".",".",".","",".","",".",".",".","."
"Special","","7","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","2","4.000","50.0","50.0",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"","College Total","365","3.816","80.3","11.0","6.6","1.4","0.3","0.3","",".","0.3","",".",".",".","",".","",".",".",".","."
