"L&S","","","","","","","","","","","","","","","","","","","","",""
"","FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"","271","004","","19","3.623","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","","Course Total","","61","3.573","47.5","32.8","16.4","1.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"Practical French Converstn","301","001","","27","3.808","70.4","18.5","3.7","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","001","","23","3.717","43.5","56.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","002","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","","Course Total","","45","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","","Course Total","","24","3.729","54.2","41.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","322","001","","12","3.167","33.3","41.7",".","8.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"","347","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347","002","","21","3.524","61.9","23.8",".","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","","Course Total","","29","3.655","72.4","17.2",".","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391","001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Medieval & Renais Lit","430","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Film","465","001","","18","3.441","61.1","11.1","5.6","5.6","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"French/Francophone Lit & Women","472","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Phonetics","590","001","","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","645","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais-XXe Siec","647","001","","12","3.750","50.0","25.0","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","024","","15","3.667","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","18","3.727","83.3","5.6",".",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"College Teaching of French","820","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-18th C","932","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
