"","EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Education","140","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","150","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200","001","","19","3.737","63.2","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","","Course Total","","63","3.944","90.5","7.9","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335","001","","17","3.382","41.2","17.6","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Comparative Education","340","001","","10","3.200","30.0",".","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412","001","","73","3.239","32.9","17.8","30.1","4.1","9.6","1.4","1.4",".",".",".",".",".","2.7",".",".","."
"Compar Hist-Chldhood&Adoles","478","001","","18","3.824","72.2","16.7",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics on Soc Issues and Ed","500","001","","23","3.457","39.1","34.8","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Religion and Public Education","516","001","","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Debates in Higher Ed Pol","518","001","","23","3.864","78.3","13.0",".","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"Anthropology and Education","570","001","","22","3.714","59.1","18.2","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Problems in Educ Pol","600","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro to Ed Policy Studies","701","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Special Topics in Educ Policy","780","003","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"School Finance","830","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Elementary Education","855","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-History of Education","906","001","","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Cross Natl Studies-Ed Probs","962","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","7","",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".",".",".","."
"","990","012","","10","",".",".",".",".",".",".",".","70.0",".",".",".","30.0",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","","Course Total","","27","",".",".",".",".",".",".",".","74.1","3.7",".",".","18.5","3.7",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","","Page 91 of 403"
