"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","11","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","17","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","45","3.963","91.1","6.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.2","."
"Prof Yr 2","","3","3.250","33.3",".","66.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","78","3.312","15.4","32.1","50.0","1.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
"Prof Yr 4","","18","3.778","66.7","27.8","5.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","99","3.371","25.3","30.3","42.4","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.0","."
