"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","240
001","92","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
020","14","3.462","28.6","35.7","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Crit Aspects Teach, Schl, Educ","Course Total","106","3.933","90.6","4.7","2.8","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Pract in World Lang (K-12)","243
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Videogames & Learning","277
001","90","3.667","50.0","31.1","13.3","2.2",".",".",".","2.2",".",".",".",".","1.1",".",".","."
"Tchg Rdg & Other Lang Arts","305
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Wrtg in Early Childhood","315
001","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","318
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Use & Acq in Early Chldhd","326
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistic Lives of Children","328
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","337
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Language of Schooling","338
001","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching World Languages (K-8)","342
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Education","364
001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","001
365","24","3.854","83.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","24","3.833","87.5",".","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","48","3.875","87.5","4.2","6.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","002
369","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","48","3.906","85.4","10.4","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","370
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","25","3.854","76.0","12.0","8.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","371
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","74","3.952","91.9","4.1","2.7",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","372
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","25","3.940","96.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","50","3.960","96.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","25","",".",".",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 83 of 403"
