"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"100
Prin & Prac-Crop Production","001","","90","3.028","14.4","21.1","42.2","8.9","11.1",".","2.2",".",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","47","3.649","53.2","31.9","10.6",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"299","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Forage Mgmt & Utilization","001","","24","3.313","37.5","16.7","29.2","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","19","3.711","73.7","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"375","001","","13","3.231","7.7","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.375","33.3","27.8","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"399","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","15","3.862","86.7",".",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"532
Environmental Biophysics","001","","7","3.429","28.6","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"555
Plant Genomics&Bioinformatics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.706","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"799
Practicum-Agronomy Teaching","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","25.0",".",".",".","72.2","2.8",".",".","."
