"","990
022","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","26","",".",".",".",".",".","",".",".","65.4",".",".",".","34.6",".",".",".","."
"N E
684","Dept. Total","328","3.425","32.3","19.2","16.5","6.1","1.2","",".","1.2","15.5",".",".",".","7.0","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","9","2.889","11.1","11.1","33.3","33.3","11.1","",".",".",".",".",".",".",".",".",".",".","."
"Senior","","103","3.212","28.2","25.2","26.2","14.6","1.9","",".","2.9",".",".",".",".",".","1.0",".",".","."
"Undergraduates","","113","3.191","27.4","23.9","26.5","15.9","2.7","",".","2.7",".",".",".",".",".","0.9",".",".","."
"Special","","1","0.000",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".",".","."
"Graduate","","214","3.645","35.0","16.8","11.2","0.9","0.5","",".",".","23.8",".",".",".","10.7","0.9",".",".","."
"","Dept. Total","328","3.425","32.3","19.2","16.5","6.1","1.2","",".","1.2","15.5",".",".",".","7.0","0.9",".",".","."
