"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"First World War","350","002","51","3.463","21.6","43.1","13.7","5.9","2.0",".",".","13.7",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","34","3.318","14.7","44.1","35.3",".",".",".","2.9",".",".",".",".",".",".",".",".","2.9"
"Labor in the Americas","355","001","14","3.182","7.1","21.4","42.9","7.1",".",".",".","14.3",".",".",".",".","7.1",".",".","."
"French Revolution 1685-1799","358","002","41","3.065","12.2","26.8","29.3","22.0",".",".","2.4","7.3",".",".",".",".",".",".",".","."
"Soc-Shakespeares England","367","001","29","3.308","20.7","27.6","34.5","3.4",".","3.4",".","10.3",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","139","3.104","11.5","25.9","38.1","22.3","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","73","3.536","37.0","42.5","11.0","4.1","4.1",".",".","1.4",".",".",".",".",".",".",".","."
"History-American Education","412","001","30","3.207","30.0","30.0","20.0","3.3","6.7","3.3","3.3","3.3",".",".",".",".",".",".",".","."
"The History of Punishment","426","001","30","3.310","23.3","33.3","26.7","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"US Military History to 1902","427","001","51","3.150","19.6","27.5","21.6","7.8",".","2.0","3.9","13.7",".",".",".",".","2.0","2.0",".","."
"Rev&Conflict-Mod Latin Amer","441","001","45","3.476","31.1","40.0","15.6","4.4","4.4",".",".",".",".",".",".",".",".",".","2.2","2.2"
"Hist Southeast Asia to 1800","457","001","12","3.208","33.3","16.7","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"The American West to1850","461","001","109","3.258","17.4","35.8","27.5","6.4","5.5",".","0.9","5.5",".",".",".",".",".",".",".","0.9"
"Topics in S Asian History","463","001","8","3.375","50.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Eur Soc Hist 1830-1914","474","001","16","3.029","25.0","18.8","25.0","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478","001","11","3.182","36.4","9.1","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","500","002","10","3.500","40.0","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","500","003","13","3.864","61.5","23.1",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","500","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","28","3.750","60.7","25.0",".","7.1",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Health, Disease & Healing I","507","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","7","3.143","42.9",".","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Scand:Politics&Hist","577","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","12","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","600","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","005","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","600","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","85","3.506","37.6","35.3","21.2","2.4","3.5",".",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","22","2.810","9.1","40.9","22.7","4.5","4.5",".","13.6","4.5",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
