"","990
201","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
202","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
203","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","7","4.000","14.3",".",".",".","",".","",".","",".","71.4","",".",".","",".","14.3","",".",".",".","."
"PEDIAT
708","Dept. Total","195","3.679","64.6","17.4","9.7","2.1","",".","",".","",".","2.6","",".",".","",".","0.5","",".",".","3.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.933","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","18","4.000","94.4",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","5.6","."
"Undergraduates","","30","3.987","93.3","3.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","3.3","."
"Special","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","51","3.959","74.5","3.9",".",".","",".","",".","",".","9.8","",".",".","",".","2.0","",".",".","9.8","."
"Prof Yr 2","","2","3.400","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","59","3.494","33.9","37.3","23.7","5.1","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","52","3.774","73.1","17.3","7.7","1.9","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","113","3.596","52.2","27.4","16.8","3.5","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","195","3.679","64.6","17.4","9.7","2.1","",".","",".","",".","2.6","",".",".","",".","0.5","",".",".","3.1","."
