"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.452","31.8","36.4","18.2","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","101
002","21","3.175","19.0","33.3","33.3",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"","101
003","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.477","22.7","50.0","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.550","45.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","15","3.433","33.3","33.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","173","3.509","36.4","37.6","19.7","2.9","1.7",".","0.6","1.2",".",".",".",".",".",".",".","."
"","001
102","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.500","31.6","31.6","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","102
003","19","3.500","36.8","36.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
006","20","3.579","45.0","20.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","008
102","16","3.367","31.3","31.3","25.0",".",".","6.3",".",".",".",".",".",".",".",".","6.3","."
"Second Semester French","Course Total","100","3.469","34.0","32.0","27.0","1.0","2.0","1.0",".","2.0",".",".",".",".",".",".","1.0","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","18","3.583","50.0","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","12","3.083","8.3","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","16","3.438","25.0","56.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
006","21","3.024",".","33.3","42.9","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
008","23","3.391","34.8","30.4","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
009","17","2.794","5.9","11.8","47.1","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","203
010","14","3.143","35.7","7.1","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","124","3.218","19.4","33.9","27.4","12.9","4.8","1.6",".",".",".",".",".",".",".",".",".","."
"","204
001","21","3.405","38.1","33.3","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.738","66.7","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.545","36.4","54.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","005
204","24","3.167","25.0","20.8","33.3","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","007
204","24","3.500","33.3","41.7","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
009","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","120","3.475","39.2","35.8","16.7","2.5","3.3","2.5",".",".",".",".",".",".",".",".",".","."
"French Interdis Studies","211
001","16","3.531","50.0","25.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","227
001","24","3.438","41.7","37.5","8.3","8.3",".",".","4.2",".",".",".",".",".",".",".",".","."
"","227
002","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
227","23","3.478","39.1","39.1","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","63","3.508","39.7","42.9","9.5","4.8",".","1.6","1.6",".",".",".",".",".",".",".",".","."
"","228
001","20","3.326","25.0","30.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","228
002","17","3.320","23.5","23.5","47.1",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","228
003","9","3.682","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","20","3.659","30.0","65.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","66","3.473","28.8","40.9","22.7","3.0","3.0",".",".","1.5",".",".",".",".",".",".",".","."
"","271
001","19","3.315","42.1","21.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","271
003","23","3.744","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 214 of 403",""
