"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","118
007","14","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
118","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","010
118","11","2.318","18.2",".","36.4","9.1","9.1","9.1","18.2",".",".",".",".",".",".",".",".","."
"","118
011","14","3.071","21.4","35.7","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","118
012","14","3.500","28.6","57.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","118
014","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","194","3.405","37.1","35.6","15.5","6.2","2.6","0.5","2.6",".",".",".",".",".",".",".",".","."
"","343
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","343
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Oral Communication Skills","Course Total","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","344
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","344
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","Course Total","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","345
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","349
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","Course Total","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL
351","Dept. Total","820","3.405","8.8","8.4","3.7","1.5","0.6","0.1","0.6",".",".","71.7","4.4",".",".",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","285","3.500","4.9","3.5","0.4","1.8","0.4",".",".",".",".","84.6","4.6",".",".",".",".","."
"Sophomore","","221","3.387","16.7","15.8","7.2","0.9","0.9","0.5","1.8",".",".","52.9","3.2",".",".",".",".","."
"Junior","","107","3.367","14.0","18.7","6.5","3.7","1.9",".","0.9",".",".","45.8","7.5",".",".",".",".","0.9"
"Senior","","29","3.406","17.2","13.8","20.7","3.4",".",".",".",".",".","44.8",".",".",".",".",".","."
"Undergraduates","","642","3.402","11.1","10.7","4.7","1.9","0.8","0.2","0.8",".",".","65.4","4.4",".",".",".",".","0.2"
"Special","","85","4.000","1.2",".",".",".",".",".",".",".",".","90.6","7.1",".",".",".","1.2","."
"Graduate","","106","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"Prof Yr 4","","5","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"Professionals","","5","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","Dept. Total","838","3.405","8.6","8.2","3.6","1.4","0.6","0.1","0.6",".",".","72.3","4.3",".",".",".","0.1","0.1"
