"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","169","3.321","42.0","23.1","14.8","8.9","5.9","3.0","1.8","0.6",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","39","3.333","30.8","41.0","12.8","5.1","7.7",".","2.6",".",".",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310
001","18","3.472","33.3","33.3","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330
001","16","3.406","37.5","31.3","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371
001","17","3.867","64.7","23.5",".",".",".",".",".",".",".",".",".",".","5.9",".","5.9","."
"Topics in Linguistics","373
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Methods I","001
426","16","3.964","81.3","6.3",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Language and Culture","430
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Morphology","522
001","12","2.833","25.0","16.7","25.0",".","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"","990
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","9","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"Independent Reading","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","311","3.402","43.1","24.1","13.8","5.8","5.1","1.9","1.6","1.3",".",".",".","1.9","1.0",".","0.3","."
