"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","351
002","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","19","3.421","36.8","21.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","68","3.566","41.2","33.8","22.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","48","3.198","14.6","20.8","56.3","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","361
002","53","2.783","15.1","15.1","28.3","17.0","15.1","7.5","1.9",".",".",".",".",".",".",".",".","."
"","361
003","62","3.129","25.8","25.8","17.7","19.4","8.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","163","3.037","19.0","20.9","32.5","14.7","8.6","3.1","1.2",".",".",".",".",".",".",".",".","."
"","001
363","73","3.118","12.3","23.3","47.9","8.2","5.5","1.4",".",".",".",".",".",".",".","1.4",".","."
"","002
363","73","3.301","45.2","12.3","23.3","9.6","5.5","1.4","2.7",".",".",".",".",".",".",".",".","."
"","363
003","34","2.735","5.9","32.4","11.8","26.5","14.7","5.9","2.9",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","180","3.120","24.4","20.6","31.1","12.2","7.2","2.2","1.7",".",".",".",".",".",".","0.6",".","."
"","364
001","67","2.724","13.4","16.4","17.9","26.9","17.9","4.5","3.0",".",".",".",".",".",".",".",".","."
"","002
364","48","2.771","8.3","20.8","22.9","25.0","18.8","2.1","2.1",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","115","2.743","11.3","18.3","20.0","26.1","18.3","3.5","2.6",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","106","3.090","15.1","15.1","47.2","17.9","4.7",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","94","2.910","19.1","10.6","26.6","20.2","23.4",".",".",".",".",".",".",".",".",".",".","."
"","417
002","27","3.577","33.3","44.4","18.5",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","28","3.593","35.7","42.9","17.9",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","418
001","58","3.759","65.5","20.7","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","33","3.788","63.6","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","92","3.766","64.1","25.0","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","001
429","29","3.586","48.3","37.9","3.4","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Design Problems-Elasticity","444
001","21","3.452","42.9","28.6","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","446
001","22","2.905","27.3","18.2","18.2",".","22.7","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"","446
003","6","3.000",".","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Automatic Controls","Course Total","28","2.926","21.4","17.9","28.6","3.6","17.9","3.6","3.6","3.6",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","003
447","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Systems Analysis","448
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","36","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","57","3.360","35.1","15.8","38.6","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","9","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
