"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","90","3.383","46.7","16.7","15.6","11.1","8.9","1.1",".",".",".",".",".",".",".",".",".","."
"","002
224","72","3.028","31.9","9.7","23.6","15.3","15.3","1.4","2.8",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","162","3.225","40.1","13.6","19.1","13.0","11.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"","301
001","141","2.860","22.7","15.6","19.1","14.9","17.7","6.4","2.1",".",".",".",".",".",".","0.7",".","0.7"
"","003
301","128","2.679","28.9","9.4","15.6","3.9","21.9","14.8","3.9",".",".",".",".",".","0.8",".","0.8","."
"","004
301","85","3.124","30.6","15.3","23.5","16.5","11.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"","006
301","79","2.786","34.2","3.8","22.8","7.6","13.9","6.3","8.9",".",".",".",".",".","2.5",".",".","."
"","301
008","157","3.000","21.7","22.9","24.8","15.3","8.9","2.5","3.8",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","590","2.887","26.4","14.6","21.0","11.9","14.9","6.4","3.7",".",".",".",".",".","0.5","0.2","0.2","0.2"
"Acc Intro to Stat Meth","302
001","46","3.337","39.1","19.6","21.7","8.7","10.9",".",".",".",".",".",".",".",".",".",".","."
"","309
001","29","3.155","31.0","24.1","17.2","13.8","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"","309
002","21","3.000","38.1",".","28.6","9.5","9.5","4.8","4.8",".",".",".",".",".","4.8",".",".","."
"Intro to Prob & Math Stat I","Course Total","50","3.092","34.0","14.0","22.0","12.0","10.0","2.0","4.0",".",".",".",".",".","2.0",".",".","."
"Intro to Prob & Math Stat II","310
001","42","3.012","31.0","7.1","33.3","9.5","11.9","4.8","2.4",".",".",".",".",".",".",".",".","."
"","311
001","47","3.330","29.8","31.9","25.5",".","12.8",".",".",".",".",".",".",".",".",".",".","."
"","002
311","47","3.202","21.3","34.0","23.4","14.9","4.3",".","2.1",".",".",".",".",".",".",".",".","."
"","003
311","44","3.170","36.4","13.6","22.7","15.9","6.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"","311
004","40","3.000","32.5","12.5","17.5","17.5","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","178","3.183","29.8","23.6","22.5","11.8","9.6","0.6","2.2",".",".",".",".",".",".",".",".","."
"","001
312","46","3.337","28.3","34.8","17.4","15.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"","312
002","37","3.338","27.0","35.1","21.6","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","83","3.337","27.7","34.9","19.3","13.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","324
001","95","3.479","33.7","35.8","23.2","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","63","3.556","39.7","36.5","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","158","3.509","36.1","36.1","21.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","327
001","39","3.846","82.1","10.3","5.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
327","39","3.603","69.2","2.6","15.4","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","003
327","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
327","24","2.917","29.2","25.0","12.5","8.3","12.5","4.2","8.3",".",".",".",".",".",".",".",".","."
"","005
327","28","2.875","39.3","3.6","10.7","21.4","14.3","3.6","7.1",".",".",".",".",".",".",".",".","."
