"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","156","3.672","53.8","31.4","9.0","3.8",".","0.6",".","1.3",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","91","3.674","57.1","26.4","4.4","2.2","3.3","1.1",".","4.4",".",".",".",".",".",".",".","1.1"
"The Symphony","106
001","52","3.286","34.6","15.4","26.9","7.7","7.7","1.9",".","3.8",".",".",".",".",".",".",".","1.9"
"","113
001","571","3.977","97.9","1.1","0.7",".","0.2",".","0.2",".",".",".",".",".",".",".",".","."
"","113
002","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","653","3.977","85.6","0.9","0.6",".","0.2",".","0.2","12.6",".",".",".",".",".",".",".","."
"","121
001","21","3.357","19.0","38.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","23","3.283","21.7","17.4","56.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","44","3.318","20.5","27.3","47.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001","36","3.743","63.9","22.2","8.3",".","2.8",".",".",".",".",".",".",".",".",".",".","2.8"
"","002
151","53","3.539","50.9","18.9","15.1","5.7","5.7",".",".","3.8",".",".",".",".",".",".",".","."
"","151
003","9","3.188","44.4","11.1","11.1",".","11.1","11.1",".",".",".",".",".",".",".","11.1",".","."
"","004
151","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","114","3.623","58.8","18.4","10.5","3.5","4.4","0.9",".","1.8",".",".",".",".",".","0.9",".","0.9"
"","171
101","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
171","11","3.318","18.2","27.3","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","12","3.292","16.7","25.0","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","44","3.398","25.0","29.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","001
205","291","3.423","31.3","33.7","17.2","7.6","4.5",".",".","5.2",".",".",".",".","0.3","0.3",".","."
"Survey-Hist Western Music","211
001","40","2.987","17.5","22.5","25.0","15.0","7.5","7.5",".","5.0",".",".",".",".",".",".",".","."
"Musica Practica 3","221
002","27","3.520","33.3","33.3","22.2","3.7",".",".",".",".",".",".",".",".","3.7","3.7",".","."
"","253
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","32","3.875","93.8",".","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"","002
264","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","48","3.854","93.8",".","2.1",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","265
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Black Music Ensemble","001
266","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
