"","999
098","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
170","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","35","4.000","80.0",".",".",".",".","",".","",".","8.6",".",".",".","8.6","2.9",".",".","."
"CURRIC
272","Dept. Total","1829","3.909","65.0","6.2","2.7","0.3","0.1","",".","",".","6.0","0.2","15.0","0.1","2.6","1.9",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.989","94.4","5.6",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","55","3.897","87.3","3.6","5.5",".","1.8","",".","",".",".",".","1.8",".",".",".",".",".","."
"Junior","","288","3.939","76.0","5.6","2.8",".",".","",".","",".",".",".","15.3",".",".","0.3",".",".","."
"Senior","","862","3.908","64.3","6.7","2.4","0.6",".","",".","",".","0.3",".","25.3","0.1",".","0.2",".",".","."
"Undergraduates","","1223","3.916","68.5","6.3","2.6","0.4","0.1","",".","",".","0.2",".","21.5","0.1",".","0.2",".",".","."
"Special","","87","3.759","54.0","19.5","8.0","1.1",".","",".","",".",".",".","8.0",".",".","6.9",".",".","2.3"
"Graduate","","519","3.922","58.4","3.7","1.9",".","0.2","",".","",".","20.6","0.6","0.8",".","9.1","4.8",".",".","."
"","Dept. Total","1829","3.909","65.0","6.2","2.7","0.3","0.1","",".","",".","6.0","0.2","15.0","0.1","2.6","1.9",".",".","0.1"
