"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","145","3.717","69.0","14.5","10.3","1.4","2.8",".","0.7","1.4",".",".",".",".",".",".",".","."
"Information Literacies Online","301
001","","14","3.500","50.0","7.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","52","3.696","71.2","9.6","9.6","3.8","1.9","1.9",".","1.9",".",".",".",".",".",".",".","."
"","450
001","","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
450","","26","3.558","26.9","57.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","85","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","","28","3.796","71.4","17.9","3.6",".","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"","002
451","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Online Searching for Info Pro","Course Total","","49","3.833","73.5","20.4","2.0",".","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"Organization of Information","551
001","","26","3.635","38.5","50.0","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","620
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Childrens Literature","001
622","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","639
001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Digital Tools, Trends, Debates","Course Total","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Intellectual Freedom","645
001","","22","3.364","18.2","45.5","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","23","3.818","73.9","8.7","13.0",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Preserv/Conserv-Lib Matls","678
001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","Course Total","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategic Info Services","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","751
001","","20","3.575","55.0","25.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","772
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
772","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Community Engagement","820
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 249 of 403",""
