"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"BIOSTATISTICS & MED INFORM","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Intro to Biostat Mthd-Pub Hlth","511","001","34","3.574","32.4","52.9","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","541","001","31","3.862","71.0","19.4","3.2",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Intro to Clinical Trials II","544","001","9","3.500","22.2","44.4","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Biostats for Pop Hlth","551","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576","001","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Cognitive Sci","841","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","106","3.668","44.3","36.8","9.4","0.9",".",".",".","5.7",".",".",".",".","1.9",".","0.9","."
