"","990
113","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
114","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
115","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","55","",".",".",".",".",".","",".","",".","67.3",".",".",".","18.2","",".",".","14.5","."
"PATH
704","Dept. Total","208","3.608","27.4","4.3","9.6","0.5","1.9","",".","",".","17.8",".","29.8",".","4.8","",".",".","3.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.250","25.0",".","75.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","10","3.350","40.0","10.0","40.0",".","10.0","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","18","3.740","72.2","5.6","22.2",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","23","3.426","56.5","4.3","21.7","4.3","13.0","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","55","3.500","56.4","5.5","29.1","1.8","7.3","",".","",".",".",".",".",".",".","",".",".",".","."
"Special","","4","3.500","50.0",".","50.0",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","165","3.789","37.0","2.4","1.2",".",".","",".","",".","20.6",".","29.1",".","4.8","",".",".","4.8","."
"Prof Yr 2","","11","4.000","9.1",".",".",".",".","",".","",".",".",".","90.9",".",".","",".",".",".","."
"Prof Yr 3","","10","3.750","30.0","10.0",".",".",".","",".","",".","10.0",".","30.0",".","20.0","",".",".",".","."
"Prof Yr 4","","14","3.913","71.4","7.1",".",".",".","",".","",".","14.3",".","7.1",".",".","",".",".",".","."
"Professionals","","35","3.897","40.0","5.7",".",".",".","",".","",".","8.6",".","40.0",".","5.7","",".",".",".","."
"","Dept. Total","259","3.608","41.7","3.5","7.7","0.4","1.5","",".","",".","14.3",".","23.9",".","3.9","",".",".","3.1","."
