"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","39","3.564","48.7","28.2","15.4","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"300
Intro to Plant Pathology","001","","84","3.401","39.3","15.5","32.1","2.4","7.1",".",".","2.4",".",".",".",".",".",".","1.2","."
"309
Diseases of Trees and Shrubs","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"311
Global Food Security","001","","18","3.417","33.3","27.8","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","12","3.458","66.7","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","16","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"517
Plant Disease Resistance","001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Capstone in Plant Pathology","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Ecol&Epidemiol-Plt Diseases","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Plant Pathology Tchg","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Inquiry-Based Biology Teaching","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Biol: Special Topics","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","7","4.000","14.3",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"923
Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 39 of 403"
