"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Special Topics","Course Total","","37","3.930","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","12","3.950","75.0","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".","8.3","."
"Smr: Topics in Current Soc","Course Total","","15","3.958","73.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","13.3","."
"915
Seminar-Sociological Theory","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"929
Class Analysis&Hist Change","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"940
Smr: Sociol-Econ Change","001","","13","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","17","3.733","52.9","23.5","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"983
Research: Economic Sociology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","67","",".",".",".",".",".",".",".","91.0",".",".",".","7.5","1.5",".",".","."
"991
Rsch-Social Psych Trainees","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992
Rsch:Trainee Pol, Cult, Soc","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research:Soc of Econ Chnge","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995
Rsch: Methodology Trainees","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"997
Rsch-Demogrphy&Ecol Trainee","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 303 of 403",""
