"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501
001","","89","3.635","52.8","25.8","18.0","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548
001","","7","2.571","14.3",".","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630
001","","79","3.601","50.6","20.3","27.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","79","",".",".",".",".",".",".",".","98.7",".",".",".",".",".",".","1.3","."
"Veterinary Radiology","638
001","","79","3.772","63.3","27.8","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","34","4.000","14.7",".",".",".",".",".",".","85.3",".",".",".",".",".",".",".","."
"","642
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","37","4.000","13.5",".",".",".",".",".",".","83.8",".",".",".",".",".",".","2.7","."
"Small Orthopedic Surgery","644
001","","13","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"","645
001","","36","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","645
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","38","4.000","21.1",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","27","4.000","40.7",".",".",".",".",".",".","59.3",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"","675
001","","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","675
003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","004
675","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","675
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","4.000","39.0",".",".",".",".",".",".","61.0",".",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.917","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","001
741","","23","4.000","78.3",".",".",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","775
001","","18","",".",".",".",".",".",".",".","94.4",".",".",".",".",".",".","5.6","."
"","775
002","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"","775
003","","7","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".","28.6","."
"Externship","Course Total","","33","",".",".",".",".",".",".",".","87.9",".",".",".",".",".",".","12.1","."
"Rsch Ethics&Career Development","812
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
