"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","141","3.324","36.9","25.5","9.9","21.3","3.5","0.7","0.7","0.7",".",".",".",".","0.7",".",".","."
"","300
003","218","3.328","35.8","25.2","11.9","24.8","1.4","0.9",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","359","3.326","36.2","25.3","11.1","23.4","2.2","0.8","0.3","0.3",".",".",".",".","0.3",".",".","."
"","305
001","41","3.159","36.6","7.3","26.8","9.8","19.5",".",".",".",".",".",".",".",".",".",".","."
"","002
305","33","2.985","27.3","9.1","27.3","6.1","30.3",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","74","3.081","32.4","8.1","27.0","8.1","24.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","39","3.154","25.6","12.8","43.6","2.6","15.4",".",".",".",".",".",".",".",".",".",".","."
"","002
320","55","3.145","18.2","25.5","32.7","14.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","320
003","39","3.211","20.5","23.1","33.3","17.9","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","133","3.167","21.1","21.1","36.1","12.0","9.0",".",".","0.8",".",".",".",".",".",".",".","."
"","325
001","49","3.204","18.4","28.6","32.7","16.3","4.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","53","3.340","24.5","35.8","22.6","17.0",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","47","3.277","29.8","14.9","36.2","19.1",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","149","3.275","24.2","26.8","30.2","17.4","1.3",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","330
001","123","3.289","19.5","30.9","39.8","8.9",".","0.8",".",".",".",".",".",".",".",".",".","."
"","365
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","365
003","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","54","3.867","81.5","11.1","5.6",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Bank Management","410
001","74","3.363","21.6","36.5","35.1","2.7","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","420
001","20","3.575","50.0","15.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","21","3.500","52.4","23.8","19.0",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","41","3.537","51.2","19.5","26.8",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","001
445","18","3.528","38.9","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","38","3.684","50.0","36.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","635
001","14","3.458","28.6","21.4","35.7",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","700
001","50","3.550","38.0","36.0","24.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","50","3.470","30.0","42.0","22.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","700
030","46","3.511","34.8","32.6","32.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","146","3.510","34.2","37.0","26.0","2.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
031","33","3.712","57.6","33.3","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","735
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","32","3.656","46.9","37.5","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","27","3.805","70.4","29.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 55 of 403"
