"COLLABORATIVE NURSING PRG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Health Assessment","317
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","407
003","8","3.188","62.5",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Chronic Care Management","441
003","17","3.118","5.9","58.8","17.6","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"Research & Evidence Base Pract","446
003","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","447
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","453
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health","454
003","12","3.500","66.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","490
020","14","3.500","28.6","50.0","7.1",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"","490
022","15","2.767","6.7","20.0","33.3","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","490
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","30","3.138","20.0","33.3","20.0","13.3","6.7",".","3.3",".",".",".",".",".","3.3",".",".","."
"Capstone Practicum for RN's","001
519","15","3.971","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","121","3.504","51.2","24.8","10.7","6.6","1.7",".","3.3",".",".",".",".",".","1.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Junior","","16","3.442","43.8","37.5","6.3",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Senior","","105","3.512","52.4","22.9","11.4","7.6","1.9",".","2.9",".",".",".",".",".","1.0",".",".","."
"Undergraduates","","121","3.504","51.2","24.8","10.7","6.6","1.7",".","3.3",".",".",".",".",".","1.7",".",".","."
"","Dept. Total","121","3.504","51.2","24.8","10.7","6.6","1.7",".","3.3",".",".",".",".",".","1.7",".",".","."
