"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","43","2.667","14.0","7.0","37.2","7.0","23.3","4.7","4.7",".",".",".",".",".",".",".",".","2.3"
"","100
002","44","2.977","11.4","20.5","36.4","15.9","15.9",".",".",".",".",".",".",".",".",".",".","."
"","003
100","43","2.872","20.9","7.0","30.2","14.0","25.6","2.3",".",".",".",".",".",".",".",".",".","."
"","004
100","41","2.890","19.5","17.1","29.3","14.6","7.3","12.2",".",".",".",".",".",".",".",".",".","."
"","005
100","46","3.022","30.4","6.5","30.4","6.5","23.9","2.2",".",".",".",".",".",".",".",".",".","."
"","006
100","46","3.000","23.9","19.6","17.4","19.6","15.2","4.3",".",".",".",".",".",".",".",".",".","."
"","007
100","47","3.149","29.8","17.0","23.4","21.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","008
100","48","2.896","18.8","12.5","37.5","12.5","10.4","6.3","2.1",".",".",".",".",".",".",".",".","."
"","009
100","47","3.096","29.8","14.9","29.8","4.3","17.0","4.3",".",".",".",".",".",".",".",".",".","."
"","010
100","43","2.919","16.3","2.3","58.1","4.7","14.0","4.7",".",".",".",".",".",".",".",".",".","."
"","011
100","41","2.805","12.2","9.8","46.3","9.8","12.2","9.8",".",".",".",".",".",".",".",".",".","."
"","100
012","45","2.956","24.4","17.8","28.9",".","20.0","8.9",".",".",".",".",".",".",".",".",".","."
"","100
013","43","2.872","18.6","11.6","32.6","9.3","23.3","4.7",".",".",".",".",".",".",".",".",".","."
"","014
100","47","2.819","14.9","14.9","31.9","12.8","17.0","8.5",".",".",".",".",".",".",".",".",".","."
"","015
100","44","3.057","25.0","13.6","31.8","11.4","15.9","2.3",".",".",".",".",".",".",".",".",".","."
"","100
016","42","3.024","21.4","21.4","33.3","7.1","7.1","9.5",".",".",".",".",".",".",".",".",".","."
"","100
017","45","2.822","15.6","17.8","26.7","8.9","24.4","6.7",".",".",".",".",".",".",".",".",".","."
"","100
018","40","2.838","20.0","15.0","25.0","17.5","12.5","7.5","2.5",".",".",".",".",".",".",".",".","."
"","019
100","39","2.538","2.6","15.4","25.6","20.5","25.6","10.3",".",".",".",".",".",".",".",".",".","."
"","020
100","39","2.921","23.1","17.9","23.1","7.7","15.4","10.3",".",".",".",".",".",".",".",".",".","2.6"
"Intro Financial Accounting","Course Total","873","2.912","19.8","14.0","31.7","11.2","16.5","6.1","0.5",".",".",".",".",".",".",".",".","0.2"
"","211
001","38","3.145","31.6","10.5","39.5","7.9","5.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"","211
002","37","2.932","13.5","13.5","40.5","16.2","13.5","2.7",".",".",".",".",".",".",".",".",".","."
"","211
003","42","3.071","21.4","14.3","42.9","9.5","9.5",".","2.4",".",".",".",".",".",".",".",".","."
"","211
004","36","2.958","27.8","8.3","33.3",".","27.8",".","2.8",".",".",".",".",".",".",".",".","."
"","005
211","23","2.761","4.3","17.4","39.1","13.0","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","176","2.994","21.0","12.5","39.2","9.1","14.8","1.7","1.7",".",".",".",".",".",".",".",".","."
"","300
001","149","3.269","23.5","28.9","32.2","9.4","3.4","0.7","0.7","0.7",".",".",".",".","0.7",".",".","."
"","300
002","44","3.375","36.4","25.0","22.7","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","193","3.293","26.4","28.0","30.1","9.3","4.1","0.5","0.5","0.5",".",".",".",".","0.5",".",".","."
"","301
001","40","3.350","27.5","27.5","32.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","39","3.231","28.2","28.2","23.1","12.8","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"","003
301","33","3.258","30.3","27.3","24.2","6.1","9.1","3.0",".",".",".",".",".",".",".",".",".","."
"","004
301","36","3.069","13.9","27.8","30.6","13.9","13.9",".",".",".",".",".",".",".",".",".",".","."
"","301
005","40","3.138","20.0","20.0","30.0","27.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","301
006","34","3.265","23.5","29.4","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","301
007","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","232","3.222","24.1","26.7","28.0","14.2","6.0","0.4","0.4",".",".",".",".",".",".",".",".","."
"","302
001","44","3.239","25.0","18.2","43.2","6.8","6.8",".",".",".",".",".",".",".",".",".",".","."
"","002
302","48","3.281","31.3","12.5","41.7","10.4","4.2",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","92","3.261","28.3","15.2","42.4","8.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"","310
001","49","3.286","30.6","14.3","36.7","18.4",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","46","3.348","34.8","19.6","30.4","10.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","95","3.316","32.6","16.8","33.7","14.7","2.1",".",".",".",".",".",".",".",".",".",".","."
"","340
001","39","2.974","12.8","17.9","33.3","28.2","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 52 of 403"
