"TERM : 1152","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Fall 2014-2015","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","",""
"Human Genetics","565
001
1","***","","","","","","","","","",".",".",".",".",".   
.   
."
"Independent Reading","699
045
5","***","","","","","","","","","",".",".",".",".",".   
.   
."
"Molecular and Medical Genetics","721
001
175","",".",".",".",".",".",".",".","98.9","0.6",".",".",".",".",".   
.   
0.6"
"MD GENET
616","181
Dept. Total","3.000",".",".","0.6",".",".",".",".","95.6","0.6",".",".",".","",".  
.  
2.8
0.6"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","",""
"Senior","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Undergraduates","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Graduate","5","",".",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
100.0
."
"Prof Yr 1","174","",".",".",".",".",".",".",".","98.9","0.6",".",".",".","",".  
.  
.  
0.6"
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".  
.  
.  
."
"Professionals","175","",".",".",".",".",".",".",".","98.9","0.6",".",".",".","",".  
.  
.  
0.6"
"","Dept. Total
181","3.000",".",".","0.6",".",".",".",".","95.6","0.6",".",".",".","",".  
.  
2.8
0.6"
"February 03, 2015","","","","","","","","","","","","","","","","Page 342 of 403"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","",""
