"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","81","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
102","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","17","3.706","88.2",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","34","3.794","88.2",".","8.8",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","104
001","14","2.964","7.1","28.6","35.7","21.4",".","7.1",".",".",".",".",".",".",".",".",".","."
"","002
104","15","3.467","33.3","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
104","15","3.367","13.3","60.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","57","3.386","26.3","43.9","17.5","8.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","001
107","19","3.447","52.6","36.8",".",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","107
002","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","107
003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
004","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","107
005","17","3.382","70.6","11.8",".","5.9",".",".","11.8",".",".",".",".",".",".",".",".","."
"","107
006","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","107
007","20","3.675","80.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","Course Total","127","3.740","81.1","10.2","1.6","2.4","0.8","1.6","2.4",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","001
108","97","3.768","74.2","13.4","6.2","1.0","1.0","2.1",".","2.1",".",".",".",".",".",".",".","."
"","112
001","14","3.571","21.4","71.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","18","3.139","27.8","16.7","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","003
112","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","19","3.579","31.6","57.9","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","17","3.265","11.8","47.1","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","006
112","19","3.579","57.9","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","112
007","20","3.575","60.0","25.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","008
112","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","138","3.486","35.5","44.2","10.1","6.5","2.2","0.7","0.7",".",".",".",".",".",".",".",".","."
"","212
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","53","3.774","69.8","18.9","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","001
214","12","3.375","25.0","58.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","222
001","10","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","25","3.520","48.0","24.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","224
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","6","2.917","16.7","50.0","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","23","3.543","47.8","39.1","8.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Life Drawing I","002
232","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
