"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ-Life Sci Comm","1
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","15","3.533","53.3","33.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
003","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","15","3.567","26.7","66.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","15","3.714","86.7",".",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","100
011","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","178","3.729","61.8","29.2","5.1","2.2",".","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"Sci&Technology Newswriting","111
001","19","3.421","52.6","10.5","21.1",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","212
001","23","3.609","43.5","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","21","3.548","47.6","23.8","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","44","3.580","45.5","31.8","15.9","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","103","3.350","34.0","21.4","33.0","5.8","4.9","1.0",".",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","46","3.728","65.2","15.2","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","20","3.775","85.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","6","3.727","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","7","3.750","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Advertising in Life Sciences","431
001","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","16","3.719","62.5","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","25","3.460","40.0","28.0","24.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","20","3.350","35.0","30.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro-Communication Thry&Rsch","001
720","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Research","999
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
